URI,SmallURI,LargeURI,ImageWidth,Type,Priority,Caption,Taxon,Character,State,UseFor,TipStyle
# Clypeus,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDkey-PNW-Ceratina-characters/i-Sx98Zwq/0/46f05564/O/Char%20-%20clypeus.jpg,,,100%,image-web,,,,Clypeus,,,
# Eye pits,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDkey-PNW-Ceratina-characters/i-mWjrf3N/0/a9d499b5/O/Char-%20face%20pits.jpg,,,100%,image-web,,,,Eyepits,,,
# Color,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDkey-PNW-Ceratina-characters/i-J46S9PL/0/98df50c2/X4/Ceratina%20color%20gallery-X4.jpg,,,100%,image-web,,,,ThoraxColor,,,
# Femur facet hair,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDkey-PNW-Ceratina-characters/i-qn2CqFv/0/4972a6c3/O/Char%20-%20femur%20ventral%20facet%20hair.jpg,,,100%,image-web,,,,FacetHair,present,,
#Ventral hairs,,,,,,,,,,,
https://photos.smugmug.com/photos/i-4hG2W47/0/O/i-4hG2W47.jpg,,,100%,image-web,,,,VentralHair,absent,,
,,,,,,,,,,,
https://photos.smugmug.com/photos/i-JRQzHW2/0/O/i-JRQzHW2.jpg,,,100%,image-web,,,,VentralHair,present,,
